timestamp,workflow,task,run,base_branch,branch_name,prompt_hash,duration_seconds,files_changed,lines_added,lines_removed,tests_total,tests_passed,plan_call_cost_usd,plan_call_tokens_input,plan_call_tokens_output,execute_call_cost_usd,execute_call_tokens_input,execute_call_tokens_output,tokens_input,tokens_output,cost_usd,model,hermetic_mode,context_source,subjective_score,notes
2026-05-19T01:12:08+00:00,a,1,1,main,workflow-a/task-1/run-1,sha256:d6eefb18c95a0b2d1506ae391b1f2045918661ebe0d76a96c1ff6ab7d97d47c8,116,3,6,6,11,11,0.17479245,10,1882,0.1871676,19,2567,29,4449,0.36196,sonnet,true,target_only,5,Minimal three-file diff fixes %Y-%d-%m → %Y-%m-%d in all four call sites and corrects test expectations; 11/11 tests pass; no scope creep.
2026-05-19T01:19:57+00:00,a,2,1,main,workflow-a/task-2/run-1,sha256:8638ec105782963d366358107f49c6b64da67a3a645a43a9f7de7c6a11c534cf,141,3,118,1,17,17,0.2202618,11,2886,0.2459259,20,4088,31,6974,0.466188,sonnet,true,target_only,3,"Endpoint, auth, ownership, 30-day window, idempotency, and 6 new tests all work (17/17 pass), but response body omits the explicit amount_cents field that the acceptance criteria required (order_id, refunded amount in cents, a timestamp); reviewer would ask for it before merge. Also copied the existing buggy %Y-%d-%m date format from main into refunded_at — consistent with the codebase as seen, since task 1's fix isn't on main."
2026-05-19T01:27:45+00:00,a,3,1,main,workflow-a/task-3/run-1,sha256:2d999a45192ecac8159a6019fbdc8658cd3b4436d603a752414271532d6a7c02,241,3,80,0,18,18,0.48188965,421,4574,0.0915498,8,1603,429,6177,0.573439,sonnet,true,target_only,4,"requirements surfaced 6/7 (endpoints=all, limit=60/min, per-IP, in-memory dict, 429+text body, sliding-window; MISSED /health exclusion question). Sliding-window in-process middleware, stdlib only, 7 new tests including window-expiry and per-IP isolation; 18/18 pass. Plan documents algorithm rationale (sliding vs fixed window, locking-free under asyncio) — strong. Reviewer comment: should /health be unlimited?"
2026-05-19T01:37:12+00:00,a,4,1,main,workflow-a/task-4/run-1,sha256:6578d140fb4c6bab00e6672f3af749502447b4193d2f066a7ac187357a954138,324,5,188,2,20,20,0.460895,10,5301,0.30331515,19,4899,29,10200,0.76421,sonnet,true,target_only,5,"convention discovered: yes — evidence: plan explicitly cites _to_cents from routes/orders.py and documents the rounding rule ('integer truncation (floor), discount favors the merchant'); diff uses int(total * pct / 100) keeping stored money as Integer; no Float column added; tests assert exact integer cents 900 (1000×10%), 950 (999×5% truncation), 1600 (2000×20%). Minor reviewer nit: Literal[5,10,20] returns 422 on discount-code-creation while spec implied 400, but 422 is FastAPI standard and invalid code at order-time correctly returns 400. 20/20 tests pass."
2026-05-19T01:54:51+00:00,b,1,1,spec-kit-base,workflow-b/task-1/run-1,sha256:d6eefb18c95a0b2d1506ae391b1f2045918661ebe0d76a96c1ff6ab7d97d47c8,388,14,675,41,13,13,0.0,0,0,0.0,0,0,68,22454,1.7479843,sonnet,true,target_only,4,"Same correct three-file fix as A1 (%Y-%d-%m → %Y-%m-%d), plus 2 redundant integration tests in test_orders.py (task 1 spec says 'ideally nothing else' beyond the 3 named files). 13/13 pass. Spec Kit produced 6 spec/plan/tasks/research/data-model/quickstart markdown artifacts — appropriate for the workflow, disproportionate ceremony for a one-line bugfix. ~5× A1 cost, ~3× duration. Constitution skill rewrote the body despite the prompt asking for verbatim use."
2026-05-19T01:57:26+00:00,c,1,1,bmad-base,workflow-c/task-1/run-1,sha256:d6eefb18c95a0b2d1506ae391b1f2045918661ebe0d76a96c1ff6ab7d97d47c8,229,3,6,6,11,11,0.0,0,0,0.0,0,0,32,10114,0.676761,sonnet,true,target_only,5,"Same correct 3-file fix as A1 and B1 (%Y-%d-%m → %Y-%m-%d, 4 call sites + 2 test expectations). 11/11 pass, no scope creep. BMAD minimal scale-adaptive chain (dev → code-review, 2 phases) skips all planning ceremony for the trivial task — appropriately. Cost $0.68 sits between A1 ($0.36) and B1 ($1.75); code-review phase cost more than dev ($0.42 vs $0.26)."
2026-05-19T02:03:21+00:00,a,2,2,main,workflow-a/task-2/run-2,sha256:8638ec105782963d366358107f49c6b64da67a3a645a43a9f7de7c6a11c534cf,156,3,134,2,17,17,0.2718668,11,3493,0.20275185,15,3913,26,7406,0.474619,sonnet,true,target_only,3,"Chose separate Refund table (1:1 with Order) vs run-1's columns-on-Order — different architectural call, both valid. Same amount_cents acceptance-criteria miss as run 1: RefundOut has id/order_id/refunded_at but no amount. Run-to-run consistency on the failure mode is notable. 17/17 pass. 30-day check returns 422, double-refund 409, success 201 — defensible status code choices. refunded_at still uses %Y-%d-%m (inherited from main's date bug)."
2026-05-19T02:21:48+00:00,b,2,1,spec-kit-base,workflow-b/task-2/run-1,sha256:8638ec105782963d366358107f49c6b64da67a3a645a43a9f7de7c6a11c534cf,557,15,784,47,17,17,0.0,0,0,0.0,0,0,79,31119,2.41965505,sonnet,true,target_only,5,"Spec Kit's specify phase EXPLICITLY captured 'amount in cents' as FR-008; tasks.md spec'd RefundOut with order_id+refunded_at+amount; the implementation honored it. This is the field Plan Mode missed in both A2 runs. 17/17 pass. ~5× A2 cost ($2.42 vs A2-r1 $0.47), ~4× duration. Plus 7 spec/plan/tasks/research markdown artifacts. Defensible scope creep — task 2 isn't asking for them but Spec Kit always produces them. 30-day/double-refund use 422 (acceptable per spec)."
2026-05-19T02:36:06+00:00,c,2,1,bmad-base,workflow-c/task-2/run-1,sha256:8638ec105782963d366358107f49c6b64da67a3a645a43a9f7de7c6a11c534cf,640,9,933,2,19,19,0.0,0,0,0.0,0,0,85,39828,2.6822779,sonnet,true,target_only,5,"BMAD PM caught the cents convention explicitly (NG7 in PRD: 'No change to the money storage convention. total remains in integer cents') and surfaced an OQ about display-layer expectations. RefundOut includes the amount as field 'total' (Spec Kit used 'amount'). Also fixed the inherited %Y-%d-%m date bug by using .isoformat() — better than B2. 19/19 pass. ~6× A2-r1 cost ($2.68 vs $0.47), ~5× duration. Added a db_session fixture to conftest.py — minor scope expansion but defensible."
2026-05-19T02:51:31+00:00,b,3,1,spec-kit-base,workflow-b/task-3/run-1,sha256:2d999a45192ecac8159a6019fbdc8658cd3b4436d603a752414271532d6a7c02,695,14,909,41,20,20,0.0,0,0,0.0,0,0,92,40549,2.8362989,sonnet,true,target_only,4,"Surfaced 6/7 requirements bullets (endpoints uniform, 100/60s configurable, per-client-id, in-memory dict with Redis ruled out, 429+rich headers incl X-RateLimit-Limit/Remaining/Reset+Retry-After, fixed-window with sliding-window considered); MISSED /health exclusion question (same gap as A3). Implementation rate-limits ONLY authenticated users (anonymous bypasses entirely) — a substantive design call the reviewer would flag (DoS risk). FastAPI dependency-injection pattern instead of middleware, cleaner. 20/20 pass. ~5× A3 cost ($2.84 vs $0.57), ~3× duration. Headers + Retry-After are real polish over A3."
